lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn
ME,2016,214,8/1/2016,12,53.24,18.49,38.05,34.27,,3,0,0.09
ME,2016,214,8/1/2016,16,53.08,18.68,39.9,34.28,,3.12,0,0.18
ME,2016,214,8/1/2016,20,52.98,18.17,40.29,34.19,,3.13,0.01,0.21
ME,2016,214,8/1/2016,22,53.01,18.85,40.57,34.45,,3.2,0,0.23
ME,2016,314,11/9/2016,0,51.23,18.15,34.1,33.66,,2.95,0,0
ME,2016,314,11/9/2016,0,51.15,18.13,33.81,33.44,,2.88,0,0
ME,2016,314,11/9/2016,4,51.31,17.75,34.19,33.77,,2.95,0,0
ME,2016,314,11/9/2016,20,52.17,16.28,39.15,34.19,,3.18,0.01,0.31
ME,2017,37,2/6/2017,0,42.89,13.51,25.15,21.65,17.56,2.83,0,0
ME,2017,37,2/6/2017,8,52.89,18.6,36.25,33.07,22.86,2.79,0,0
ME,2017,37,2/6/2017,8,52.87,18.2,36.03,32.82,22.4,2.9,0,0
ME,2017,37,2/6/2017,20,89.99,18.61,41.79,31.53,42.82,4.14,4.14,0.06
ME,2017,107,4/17/2017,0,55.84,16.47,35.4,30.39,22.94,2.69,0,0
ME,2017,107,4/17/2017,0,55.99,16.57,35.86,30.12,23.17,2.67,0,0
ME,2017,107,4/17/2017,8,55.98,16.54,35.62,30.3,22.97,2.68,0,0
ME,2017,107,4/17/2017,20,55.95,16.57,35.87,30.34,23.21,2.69,0,0
ME,2017,219,8/7/2017,0,53.12,16.16,27.65,31.58,25.07,2.84,0,0
ME,2017,219,8/7/2017,4,53.17,16.3,27.79,31.54,24.86,2.84,0,0
ME,2017,219,8/7/2017,6,53.46,17.01,27.64,31.35,24.61,2.81,0,0
ME,2017,219,8/7/2017,8,53.8,17.27,30.67,31.93,25.42,2.87,0,0
ME,2017,219,8/7/2017,12,55.5,17.18,40.34,33.18,26.72,3.01,0,0.07
ME,2017,219,8/7/2017,12,55.84,17.18,39.28,32.28,25.79,3,0,0.06
ME,2017,219,8/7/2017,16,55.63,17.59,41.04,32.91,26.55,3.16,0,0.18
ME,2017,219,8/7/2017,20,55.76,16.26,41.79,32.67,26.04,3.15,0.01,0.27
ME,2017,219,8/7/2017,22,55.79,16.68,41.89,32.42,25.87,3.18,0.01,0.28
ME,2017,306,11/2/2017,0,54.89,15.39,34.19,33.11,25.01,3.03,0,0
ME,2017,306,11/2/2017,4,54.98,15.38,34.06,33.13,25.38,2.98,0,0
ME,2017,306,11/2/2017,20,54.92,15.4,34.64,33.61,25.47,3.04,0,0
ME,2017,306,11/2/2017,20,54.89,15.38,34.16,33.13,25.39,3.03,0,0
ME,2018,23,1/23/2018,0,56.67,18.39,38.2,35.74,27.67,3.18,0,0
ME,2018,23,1/23/2018,8,56.78,17.67,38.81,36.44,28.23,3.15,0,0.04
ME,2018,23,1/23/2018,20,57.89,19.1,44.45,40.39,30.82,3.45,0,0.02
ME,2018,23,1/23/2018,20,57.75,18.37,42.14,37.67,28.33,3.21,0,0
ME,2018,110,4/20/2018,0,56.02,16.26,39.53,34.21,26.22,3.36,0,0
ME,2018,110,4/20/2018,0,55.52,16.28,39.63,34.26,26.05,3.43,0,0
ME,2018,110,4/20/2018,8,55.46,16.2,39.12,33.84,25.58,3.38,0,0
ME,2018,110,4/20/2018,20,55.57,16.24,39.09,33.72,25.5,3.41,0,0
ME,2018,218,8/6/2018,0,55.64,15.53,24.39,31.37,26.32,3.01,0,0
ME,2018,218,8/6/2018,4,54.56,15.48,24.68,31.4,26.43,3.05,0,0
ME,2018,218,8/6/2018,6,55.4,15.45,25.27,31.58,26.58,3.05,0,0
ME,2018,218,8/6/2018,8,54.26,15.48,26.85,32.16,27.31,3.04,0,0
ME,2018,218,8/6/2018,8,54.31,15.49,26.53,31.91,27.09,3.04,0,0
ME,2018,218,8/6/2018,12,55.91,16.35,39.62,32.92,27.17,3.44,0,0.08
ME,2018,218,8/6/2018,16,56.1,16.45,39.59,32.85,27.06,3.4,0,0.13
ME,2018,218,8/6/2018,20,56.86,16.14,40.6,33.28,27.27,3.46,0,0.22
ME,2018,218,8/6/2018,22,56.32,15.41,41.34,33.39,27.31,3.56,0,0.27
ME,2018,302,10/29/2018,0,51.69,15.04,32.28,30.1,23.91,3.15,0,0
ME,2018,302,10/29/2018,4,51.4,15.04,32.08,29.9,23.63,3.15,0,0
ME,2018,302,10/29/2018,4,51.46,15.05,32.05,29.89,23.68,3.19,0,0
ME,2018,302,10/29/2018,20,51.9,15.14,32.35,29.93,23.76,3.19,0,0
MO,2013,36,2/5/2013,0,68.97,18.81,35.39,35.02,35.51,3.28,0,0
MO,2013,36,2/5/2013,8,68.75,18.78,35.67,35.67,35.63,3.32,0,0
MO,2013,36,2/5/2013,20,113.77,20.7,40.96,35.22,63.83,3.6,0,0.11
MO,2013,36,2/5/2013,20,113.92,20.7,41.44,41.44,64.6,3.58,0,0.11
MO,2013,128,5/8/2013,0,79.43,21.07,35.99,32.11,40.47,3.01,0,0
MO,2013,128,5/8/2013,0,79.1,21.03,34.67,30.71,40.16,3.14,0,0
MO,2013,128,5/8/2013,8,79.87,20.31,35.14,30.9,40.9,3.14,0,0
MO,2013,128,5/8/2013,20,79.95,20.56,35.47,30.97,40.78,3.12,0,0.01
MO,2013,218,8/6/2013,0,65.13,18.49,26.93,28.48,30.98,2.88,0,0
MO,2013,218,8/6/2013,4,65.3,18.63,27.25,28.54,31.3,2.86,0,0
MO,2013,218,8/6/2013,6,65.96,18.53,27.77,28.82,31.62,2.89,0,0
MO,2013,218,8/6/2013,8,67.86,18.68,30.05,28.57,32.93,2.92,0,0.01
MO,2013,218,8/6/2013,8,67.77,18.62,29.98,28.29,32.89,2.9,0,0
MO,2013,218,8/6/2013,12,77.19,16.65,35.71,29.58,37.7,3.14,0.01,0.23
MO,2013,218,8/6/2013,16,77.8,13.5,36.31,29.26,37.75,3.23,0.02,0.27
MO,2013,218,8/6/2013,20,77.71,13.65,36.96,29.33,38,3.21,0.02,0.27
MO,2013,218,8/6/2013,22,78.13,13.45,37.26,29.57,38.13,3.25,0.02,0.27
MO,2013,303,10/30/2013,0,69.37,17.68,32.01,30.89,34.46,3.03,0,0
MO,2013,303,10/30/2013,4,68.82,17.56,32.03,30.98,34.59,3.09,0,0
MO,2013,303,10/30/2013,4,69.18,18.59,32.32,31.16,34.77,3.04,0,0
MO,2013,303,10/30/2013,20,66.66,18.55,32.17,31.31,33.37,3.04,0,0.01
MO,2014,72,3/13/2014,0,71.13,20.3,34.89,33.6,33.63,3.21,0,0
MO,2014,72,3/13/2014,8,74.23,20.46,35.82,34.11,34.97,3.26,0,0
MO,2014,72,3/13/2014,8,74.26,20.43,35.91,34.15,35.15,3.3,0,0
MO,2014,72,3/13/2014,20,236.75,25.37,53.86,37.03,99.99,5.28,0.05,0.28
MO,2014,120,4/30/2014,0,77.29,19.42,35.51,31.73,37.96,3.07,0,0
MO,2014,120,4/30/2014,8,77.02,19.35,35.9,31.9,38.35,3.06,0,0
MO,2014,120,4/30/2014,8,76.51,19.23,35.36,31.71,37.82,3.04,0,0
MO,2014,120,4/30/2014,20,77.6,19.42,35.41,31.83,37.83,3.09,0,0
MO,2014,217,8/5/2014,0,68.13,17.36,26.46,27.43,31.58,2.8,0.01,0
MO,2014,217,8/5/2014,4,68.68,17.39,36.48,27.46,31.96,2.8,0.01,0
MO,2014,217,8/5/2014,6,68.69,17.41,27.3,27.91,32.49,2.81,0.01,0
MO,2014,217,8/5/2014,6,68.72,17.4,26.84,27.06,31.79,2.79,0.01,0
MO,2014,217,8/5/2014,8,69.09,17.45,27.47,27.55,31.78,2.82,0.01,0.01
MO,2014,217,8/5/2014,12,75.81,17.84,35.77,29.14,35.67,3.05,0.03,0.2
MO,2014,217,8/5/2014,16,76.22,17.07,37.12,29.35,36.05,3.13,0.04,0.26
MO,2014,217,8/5/2014,20,76.18,16.91,37.44,28.99,36.01,3.13,0.04,0.27
MO,2014,217,8/5/2014,22,76.31,17,37.97,29.48,36.39,3.17,0.03,0.28
MO,2014,309,11/5/2014,0,68.64,17.86,34.38,30.11,33.72,3,0.01,0.01
MO,2014,309,11/5/2014,0,68.72,17.87,34.39,30.09,33.62,2.97,0,0
MO,2014,309,11/5/2014,4,68.65,17.87,34.16,30.02,33.34,2.97,0,0
MO,2014,309,11/5/2014,20,68.39,17.89,33.86,29.67,33.46,3.05,0,0.01
MO,2015,65,3/6/2015,0,72.02,19.79,30.5,29.75,31.03,3.06,0,0
MO,2015,65,3/6/2015,8,72.76,19.76,31.1,29.36,31.5,3.06,0,0
MO,2015,65,3/6/2015,8,72.73,19.85,30.58,29.57,30.97,3.07,0,0
MO,2015,65,3/6/2015,20,113.26,26.42,48.65,34.73,50,3.16,0.02,0.36
MO,2015,104,4/14/2015,0,71.74,18.88,45.85,32.34,40.7,3.01,0,0
MO,2015,104,4/14/2015,8,71.69,18.87,45.64,31.95,40.14,3.02,0,0
MO,2015,104,4/14/2015,8,71.61,18.85,45.9,31.75,40.35,3.04,0,0
MO,2015,104,4/14/2015,20,71.48,18.84,45.82,32.07,40.57,3.06,0,0
MO,2015,216,8/4/2015,0,71.86,18,25.56,29.68,33.07,2.82,0,0
MO,2015,216,8/4/2015,4,71.89,18.02,25.39,29.06,32.86,2.82,0,0.02
MO,2015,216,8/4/2015,6,72,18.06,25.29,29.42,33.14,2.86,0,0
MO,2015,216,8/4/2015,8,72.46,18.21,29.41,29.6,33.87,2.97,0,0.03
MO,2015,216,8/4/2015,12,74.67,17.33,37.69,30.17,34.72,3.05,0.01,0.21
MO,2015,216,8/4/2015,16,74.14,16.62,38.5,29.85,34.86,3.15,0.02,0.23
MO,2015,216,8/4/2015,16,74.26,16.62,38.01,30.2,34.62,3.15,0.02,0.24
MO,2015,216,8/4/2015,20,74.32,16.7,38.73,30.23,34.76,3.17,0.02,0.24
MO,2015,216,8/4/2015,22,-99,-99,-99,-99,-99,-99,-99,-99
MO,2015,307,11/3/2015,0,67.54,18.35,30.57,29.91,31.58,2.91,0,0
MO,2015,307,11/3/2015,4,67.96,18.38,30.27,29.72,30.96,2.92,0,0
MO,2015,307,11/3/2015,20,68.14,18.43,30.69,29.88,31.13,2.95,0,0
MO,2015,307,11/3/2015,20,69.81,18.65,30.69,30.19,31.67,2.95,0,0
MO,2016,35,2/4/2016,0,65.5,19.31,32.87,30.67,,2.75,0,0
MO,2016,35,2/4/2016,8,32.84,8.2,33.37,31.22,,2.85,0,0
MO,2016,35,2/4/2016,20,96.25,26.71,51.28,36.1,,3.03,0.01,0.28
MO,2016,35,2/4/2016,20,95.61,26.22,51.14,36.55,,3.03,0.01,0.28
MO,2016,104,4/13/2016,0,71.7,20.8,36.72,29.39,,2.76,0,0
MO,2016,104,4/13/2016,0,71.82,20.32,36.76,29.5,,2.78,0.01,0
MO,2016,104,4/13/2016,8,71.23,15.36,37.16,29.43,,2.78,0.01,0
MO,2016,104,4/13/2016,20,71.06,20.75,37.17,29.92,,2.77,0,0
MO,2016,215,8/2/2016,0,67.94,17.96,29.03,31.96,,2.88,0,0
MO,2016,215,8/2/2016,4,69,17.06,28.79,32.01,,2.91,0,0
MO,2016,215,8/2/2016,6,68.63,16.98,29.3,31.86,,2.91,0,0
MO,2016,215,8/2/2016,8,69.87,16.72,31.99,32.24,,3.06,0,0.01
MO,2016,215,8/2/2016,12,71.68,16.71,40.23,32.79,,3.23,0.03,0.21
MO,2016,215,8/2/2016,16,71.22,16.84,41.36,32.98,,3.28,0.03,0.2
MO,2016,215,8/2/2016,16,71.21,16.23,41.43,32.46,,3.29,0.02,0.22
MO,2016,215,8/2/2016,20,71.22,16.61,41.63,32.71,,3.3,0.03,0.21
MO,2016,215,8/2/2016,22,-99,-99,-99,-99,,-99,-99,-99
MO,2016,315,11/10/2016,0,63.9,16.35,33.75,31.42,,2.98,0,0
MO,2016,315,11/10/2016,4,64.06,16.6,33.67,31.48,,3,0,0
MO,2016,315,11/10/2016,4,63.99,16.41,33.6,31.46,,2.99,0,0
MO,2016,315,11/10/2016,20,64.15,16.59,34.11,31.57,,3.01,0,0.02
MO,2017,44,2/13/2017,0,64.98,19.45,35.7,31.79,28.79,2.9,0,0
MO,2017,44,2/13/2017,0,65.14,19.48,35.94,32.14,29.09,2.97,0,0
MO,2017,44,2/13/2017,8,69.58,20.1,36.38,31.74,31.08,2.94,0,0
MO,2017,44,2/13/2017,20,373.41,28.07,52.61,30.77,99.99,11.88,0.13,0.19
MO,2017,109,4/19/2017,0,78.75,17.81,35.88,28.97,34.52,2.84,0,0
MO,2017,109,4/19/2017,8,79.67,17.84,35.66,28.95,35.04,2.85,0,0
MO,2017,109,4/19/2017,20,79.86,17.98,35.79,29.27,35.22,2.85,0,0
MO,2017,109,4/19/2017,20,79.88,17.96,35.95,28.97,35.22,2.84,0,0
MO,2017,220,8/8/2017,0,69,15,29.51,29.43,33.17,2.88,0,0
MO,2017,220,8/8/2017,4,51,11,30.55,30.36,34.74,2.99,0,0
MO,2017,220,8/8/2017,6,67,15,29.92,29.94,34.03,2.9,0,0
MO,2017,220,8/8/2017,8,69,15,29.67,29.61,33.7,2.92,0,0
MO,2017,220,8/8/2017,8,68,15,29.74,29.82,33.78,2.93,0,0
MO,2017,220,8/8/2017,12,76,15,42.19,31.41,38.27,3.37,0.03,0.28
MO,2017,220,8/8/2017,16,75,15,42.77,31.11,38.06,3.37,0.02,0.32
MO,2017,220,8/8/2017,20,75,14,43.19,31.2,38.11,3.41,0.02,0.32
MO,2017,220,8/8/2017,22,-99,-99,-99,-99,-99,-99,-99,-99
MO,2017,307,11/3/2017,0,70.32,14.59,34.45,31.48,33.83,3.13,0,0
MO,2017,307,11/3/2017,4,70.04,15.31,35.46,32.35,34.36,3.17,0,0
MO,2017,307,11/3/2017,4,70.14,15.29,34.87,31.82,33.58,3.11,0,0
MO,2017,307,11/3/2017,20,70.36,14.61,34.89,31.82,33.98,3.17,0,0
MO,2018,24,1/24/2018,0,64,17.12,37.2,33.75,34.58,3.12,0,0
MO,2018,24,1/24/2018,0,64.06,17.31,36.14,32.77,33.43,3.14,0,0
MO,2018,24,1/24/2018,8,71.7,18.83,39.23,35.31,36.9,3.35,0,0
MO,2018,24,1/24/2018,20,87.53,22.16,53.88,41.1,45.54,3.51,0,0.32
MO,2018,114,4/24/2018,0,76.63,17.15,38.7,32.18,36,3.28,0,0
MO,2018,114,4/24/2018,0,76.75,17.14,38.96,32.5,36.9,3.24,0,0
MO,2018,114,4/24/2018,8,75.86,17.1,39.06,32.64,36.83,3.29,0,0
MO,2018,114,4/24/2018,20,76.52,17.15,38.78,32.43,36.54,3.29,0,0
MO,2018,219,8/7/2018,0,69.43,15.54,28.43,30.3,36.31,3.06,0,0
MO,2018,219,8/7/2018,4,69.37,15.5,28.63,30.4,36.8,3.01,0,0
MO,2018,219,8/7/2018,4,69.33,15.46,28.61,30.63,37.88,3.08,0,0
MO,2018,219,8/7/2018,6,69.45,15.48,28.57,29.91,36.18,2.97,0,0
MO,2018,219,8/7/2018,8,70.79,15.6,33.08,31.32,39.77,3.2,0,0.06
MO,2018,219,8/7/2018,12,77.03,15.38,41.58,32.51,40.96,3.52,0.01,0.28
MO,2018,219,8/7/2018,16,77.33,14.92,41.84,32.31,40.37,3.48,0.01,0.32
MO,2018,219,8/7/2018,20,77.25,14.71,42.18,32.52,40.67,3.52,0.01,0.34
MO,2018,219,8/7/2018,22,-99,-99,-99,-99,-99,-99,-99,-99
MO,2018,304,10/31/2018,0,63.17,15.18,31.88,28.62,30.14,3.05,0,0
MO,2018,304,10/31/2018,0,62.95,15.16,31.8,28.45,29.95,3.08,0,0
MO,2018,304,10/31/2018,4,63.39,15.18,31.68,28.48,30.07,3.09,0,0
MO,2018,304,10/31/2018,20,62.74,15.13,31.42,28.19,29.84,3.11,0,0
SP,2013,56,2/25/2013,0,10.47,2.9,11.92,3.46,3.46,0.71,0.02,0
SP,2013,56,2/25/2013,10,10.03,2.84,11.58,3.38,3.31,0.68,0.25,0.01
SP,2013,56,2/25/2013,18,10.12,0.79,15.03,4.06,3.52,0.96,16.51,0.7
SP,2013,56,2/25/2013,18,10.04,0.79,14.97,4.03,3.46,0.91,16.24,0.7
SP,2013,136,5/16/2013,0,9.88,2.83,12,3.34,3.44,0.66,0,0.01
SP,2013,136,5/16/2013,0,9.9,2.83,12.04,3.35,3.48,0.69,0,0.01
SP,2013,136,5/16/2013,10,9.89,2.84,12.13,3.33,3.45,0.67,0,0.01
SP,2013,136,5/16/2013,18,10,2.89,11.77,3.34,3.46,0.68,0.01,0.02
SP,2013,217,8/5/2013,0,9.73,2.63,11.36,3.28,3.45,0.67,0,0
SP,2013,217,8/5/2013,5,9.59,2.96,11.29,3.26,3.46,0.68,0,0
SP,2013,217,8/5/2013,8,9.35,2.72,11.41,3.29,3.35,0.69,0,0
SP,2013,217,8/5/2013,8,9.43,2.86,11.61,3.3,3.34,0.69,0,0
SP,2013,217,8/5/2013,12,9.42,2.86,11.28,3.29,3.38,0.7,0,0
SP,2013,217,8/5/2013,16,9.44,2.9,11.81,3.37,3.4,0.73,0.21,0.23
SP,2013,217,8/5/2013,18,9.46,2.22,12.63,3.5,3.43,0.76,3.6,0.32
SP,2013,317,11/13/2013,0,9.71,2.49,11.71,3.38,3.41,0.69,0.07,0
SP,2013,317,11/13/2013,10,9.74,2.52,11.73,3.39,3.47,0.7,0.07,0.01
SP,2013,317,11/13/2013,10,9.73,2.5,11.69,3.36,3.49,0.7,0.07,0.01
SP,2013,317,11/13/2013,18,9.73,2.5,11.82,3.4,3.44,0.69,0.08,0.01
SP,2014,48,2/17/2014,0,10.71,3.09,11.81,3.59,3.46,0.74,0,0
SP,2014,48,2/17/2014,10,10.07,3.04,11.48,3.37,3.21,0.68,0.11,0.01
SP,2014,48,2/17/2014,18,10.46,0.88,13.13,3.6,3.22,0.8,16.36,1.13
SP,2014,48,2/17/2014,18,10.23,0.41,13.02,3.58,3.25,0.82,16.82,1.14
SP,2014,139,5/19/2014,0,9.39,2.73,10.92,3.24,2.77,0.63,0.01,0
SP,2014,139,5/19/2014,10,10,2.79,11.62,3.44,2.99,0.65,0.02,0
SP,2014,139,5/19/2014,10,9.99,2.79,11.73,3.45,2.99,0.67,0.01,0
SP,2014,139,5/19/2014,18,10.54,2.64,12.6,3.69,3.2,0.72,0.14,0.08
SP,2014,224,8/12/2014,0,10.05,2.56,10.62,3.19,3.5,0.66,0.02,0
SP,2014,224,8/12/2014,5,10.04,2.55,10.73,3.19,3.5,0.67,0.02,0
SP,2014,224,8/12/2014,8,9.73,2.6,10.79,3.25,3.34,0.69,0.01,0
SP,2014,224,8/12/2014,8,9.7,2.59,10.78,3.27,3.37,0.69,0.01,0
SP,2014,224,8/12/2014,10,10.1,2.64,11.45,3.35,3.44,0.71,0.02,0
SP,2014,224,8/12/2014,15,10.36,2.43,12.05,3.51,3.58,0.75,0.32,0.17
SP,2014,224,8/12/2014,18,10.32,0.89,13.35,3.7,3.66,0.84,7.91,0.5
SP,2014,314,11/10/2014,0,9.94,3.04,11.82,3.41,3.76,0.71,0.13,0.03
SP,2014,314,11/10/2014,10,10.12,3.19,11.74,3.4,3.75,0.74,0.15,0.03
SP,2014,314,11/10/2014,10,10.17,3.25,11.89,3.42,3.81,0.69,0.15,0.03
SP,2014,314,11/10/2014,18,10.16,3.08,11.94,3.46,3.83,0.75,0.39,0.08
SP,2015,55,2/24/2015,0,10.97,2.73,10.82,3.54,3.62,0.74,0.02,0
SP,2015,55,2/24/2015,10,9.68,0,9.89,3.19,3.18,0.67,0.37,0.05
SP,2015,55,2/24/2015,10,9.62,2.42,9.92,3.16,3.17,0.66,0.27,0.03
SP,2015,55,2/24/2015,18,10.02,0.2,15.6,3.61,3.76,0.86,12.97,1.78
SP,2015,113,4/23/2015,0,10.11,2.48,14.57,3.48,4.43,0.73,0.03,0
SP,2015,113,4/23/2015,10,8.23,2.12,14.44,3.46,4.37,0.72,0.03,0.01
SP,2015,113,4/23/2015,10,9.97,2.46,14.34,3.47,4.51,0.73,0.03,0
SP,2015,113,4/23/2015,18,10.73,2.36,15.15,3.58,4.74,0.77,0.27,0.09
SP,2015,223,8/11/2015,0,10.58,2.74,11.18,3.22,3.56,0.64,0.02,0
SP,2015,223,8/11/2015,0,10.48,2.74,11.05,3.24,3.69,0.63,0.02,0
SP,2015,223,8/11/2015,5,10.48,2.74,11.13,3.22,3.6,0.66,0.02,0
SP,2015,223,8/11/2015,10,10.15,2.74,11.27,3.23,3.51,0.65,0.01,0
SP,2015,223,8/11/2015,12,10.16,2.74,11.32,3.23,3.55,0.65,0.02,0.01
SP,2015,223,8/11/2015,15,10.19,2.67,11.16,3.25,3.58,0.65,0.03,0.01
SP,2015,223,8/11/2015,18,10.24,2.29,11.62,3.29,3.58,0.7,1.52,0.35
SP,2015,321,11/17/2015,0,11.03,2.38,11.37,3.27,3.58,0.63,0.06,0.01
SP,2015,321,11/17/2015,0,11.09,2.47,11.37,3.29,3.61,0.63,0.07,0.01
SP,2015,321,11/17/2015,10,10.96,2.35,11.35,3.28,3.56,0.64,0.15,0.02
